,features_0,features_1,features_2,features_3,features_4,features_5,features_6,features_7,features_8,features_9,features_10,features_11,features_12,features_13,features_14,features_15,features_16,features_17,features_18,features_19,features_20,features_21,features_22,features_23,features_24,features_25,features_26,features_27,features_28,features_29,features_30,features_31,features_32
6OAUC,-8.742485046386719,-17.63934898376465,-11.391523361206055,-17.651288986206055,0.2637290954589844,0.05196511745452881,-0.04924265295267105,-0.09745166450738907,0.9479951858520508,0.02968803234398365,-0.10583561658859253,0.64829421043396,-1.0705591440200806,-0.6140201687812805,-1.0739343166351318,-1.0799033641815186,-0.023948464542627335,-0.6622642874717712,-1.184923529624939,-1.2918450832366943,-1.199581503868103,-0.49807125329971313,-1.8309005498886108,-2.828932523727417,-4.54764986038208,-8.032703399658203,-6.483588218688965,-6.436191558837891,-1.1108351945877075,-1.333103895187378,-1.2536473274230957,-1.4265811443328857,-17.65664291381836
5LSID,-9.865964889526367,-18.508560180664062,-11.442021369934082,-18.53746223449707,0.636928379535675,-0.1377507597208023,-0.6856554746627808,-0.5522960424423218,0.7959394454956055,0.1651376187801361,-0.16161715984344482,-0.3971233665943146,-0.5848528742790222,-0.46130770444869995,-0.9616568088531494,-0.2373281717300415,-0.09152578562498093,-0.8213597536087036,-0.8570444583892822,-1.6298754215240479,-1.2854077816009521,-1.0221812725067139,-2.268831491470337,-1.5885998010635376,-7.515416622161865,-9.910021781921387,-8.641532897949219,-8.163108825683594,-1.729726791381836,-1.7709773778915405,-1.8080554008483887,-1.8937240839004517,-18.488449096679688
1XIPA,-10.1060209274292,-19.107006072998047,-12.655050277709961,-19.181673049926758,0.6724578142166138,-0.13295990228652954,-0.44224750995635986,0.34220096468925476,0.7555496096611023,-0.20266731083393097,-0.9144018888473511,0.0871998518705368,-0.014514484442770481,-0.5028772354125977,-1.1579735279083252,-0.3463892638683319,-0.5879635810852051,-0.4682628810405731,-0.1653476059436798,-0.9029235243797302,-1.6049500703811646,-1.1942508220672607,-2.217095136642456,-1.1758118867874146,-8.918252944946289,-10.81578254699707,-8.669380187988281,-8.848377227783203,-1.6924177408218384,-1.7717634439468384,-1.851504921913147,-1.8782997131347656,-19.09490394592285
6DK9A,-8.982221603393555,-18.482452392578125,-14.096399307250977,-18.554597854614258,0.5015068054199219,1.01553213596344,-0.42569848895072937,0.44927847385406494,0.5942099094390869,-0.4101031720638275,-1.137862205505371,0.6735559105873108,-0.3069322407245636,-0.7994573712348938,-1.8671772480010986,-1.3722769021987915,-0.43862563371658325,-0.5067240595817566,-1.0545660257339478,-1.2353917360305786,-0.9017553329467773,-0.7577099204063416,-2.682920217514038,-1.0198426246643066,-9.217516899108887,-10.765959739685059,-7.103360652923584,-8.063139915466309,-1.1352579593658447,-1.62588632106781,-1.5536346435546875,-1.5444910526275635,-18.55862045288086
3S8IA,-8.264567375183105,-17.743335723876953,-12.107048988342285,-17.665807723999023,0.6222355365753174,-0.32174986600875854,-0.6427925825119019,0.13515420258045197,0.4307890236377716,-1.4472299814224243,-0.4495265781879425,-0.05484401807188988,-0.4067963659763336,-1.8971551656723022,-1.7020279169082642,-1.1968036890029907,-0.6053304672241211,-1.1573718786239624,-1.4016324281692505,-2.391345262527466,-0.8332512974739075,-0.7979522347450256,-3.8796768188476562,-1.5575758218765259,-3.3140485286712646,-7.150719165802002,-5.084378719329834,-4.886425971984863,-0.7695553302764893,-1.1068859100341797,-0.9252609014511108,-0.9355396628379822,-17.83327865600586
7MY4A,-8.627171516418457,-18.727550506591797,-13.739501953125,-18.806249618530273,0.6322141885757446,0.9707396626472473,-0.9155415892601013,0.23116588592529297,0.42523327469825745,-0.6505132913589478,0.036741916090250015,0.31702902913093567,-0.5809779167175293,-2.047006368637085,-1.8189890384674072,-0.36999186873435974,-0.16071628034114838,-0.5724625587463379,-1.4063081741333008,-1.8334336280822754,-0.8048030734062195,-0.9105497598648071,-3.7024905681610107,-1.258595585823059,-4.1103434562683105,-8.787851333618164,-6.468895435333252,-6.2552995681762695,-0.922751784324646,-1.503454566001892,-1.254876971244812,-1.2790708541870117,-18.75438690185547
5YF4A,-8.458548545837402,-18.163055419921875,-13.923599243164062,-18.199186325073242,0.9822627902030945,0.5744017362594604,-1.3206326961517334,0.3713228702545166,0.8656612634658813,-0.816781759262085,-1.0859695672988892,0.501375675201416,0.1764732152223587,-1.7299485206604004,-2.042664051055908,-1.0410267114639282,-0.3463286757469177,-0.26728197932243347,-0.469346821308136,-0.6963587999343872,-0.5964358448982239,-0.5217376947402954,-2.9869208335876465,-0.3753490149974823,-4.915860176086426,-8.559592247009277,-5.559964179992676,-5.753976821899414,-0.7076902389526367,-1.312964916229248,-1.0663295984268188,-1.1603273153305054,-18.19913101196289
3WVZA,-10.320454597473145,-19.121673583984375,-13.90790843963623,-19.1986026763916,0.30831101536750793,0.7516838908195496,-0.11382889747619629,0.5571721792221069,0.9865543842315674,-1.0695838928222656,-1.1589078903198242,0.43197837471961975,-0.49736082553863525,-1.421412706375122,-0.8796821236610413,-1.0265159606933594,0.016256257891654968,-0.20434173941612244,-0.5642564296722412,-1.6237056255340576,-0.4187539517879486,-1.328540325164795,-3.478991985321045,-1.4267910718917847,-7.014214038848877,-10.36954116821289,-7.799184322357178,-8.064812660217285,-1.3458138704299927,-1.62716805934906,-1.5823326110839844,-1.572603702545166,-19.140050888061523
4BJ1A,-9.971888542175293,-18.091432571411133,-11.85081672668457,-18.08281707763672,0.448001891374588,-0.8184040784835815,-1.1640675067901611,-0.3437783122062683,0.4465011656284332,-0.05729932710528374,-0.9668172001838684,-0.330026239156723,0.08128425478935242,-0.3437991142272949,-1.3837347030639648,0.15279890596866608,-0.6684490442276001,-0.0014558506663888693,-0.24071000516414642,-0.5871937870979309,-1.1823935508728027,-1.2321534156799316,-2.6883792877197266,-1.345863938331604,-8.811080932617188,-10.269371032714844,-8.60204029083252,-8.560518264770508,-1.673097014427185,-1.693942904472351,-1.851097822189331,-1.802829623222351,-18.059616088867188
5XQHA,-9.709630012512207,-18.010848999023438,-11.442898750305176,-18.03754425048828,0.7742542624473572,0.1113044023513794,-0.4362921118736267,-0.17187316715717316,0.06486598402261734,-0.13324479758739471,-0.42109212279319763,-0.3341892659664154,-0.8853127360343933,-0.5023123621940613,-0.6982644200325012,-0.5318703651428223,-0.1038862019777298,-0.8852007985115051,-0.9844068884849548,-1.3837273120880127,-1.449349284172058,-0.9559293389320374,-1.8792445659637451,-1.1792621612548828,-6.95536470413208,-9.747556686401367,-8.39762020111084,-8.101762771606445,-1.716766357421875,-1.717646837234497,-1.8139374256134033,-1.9278874397277832,-18.02718162536621
2Z5BB,-9.596442222595215,-17.815887451171875,-11.225570678710938,-17.83831214904785,0.2602599263191223,-0.5046302676200867,-0.6177254319190979,-0.2529347538948059,-0.005587771534919739,-0.16636857390403748,-0.7648239731788635,-0.558283805847168,-0.3039819300174713,-0.19487781822681427,-0.9498848915100098,-0.18033292889595032,-0.845858097076416,-0.4670611619949341,-0.6598338484764099,-0.9288448691368103,-1.3818973302841187,-1.5114648342132568,-2.2164318561553955,-1.876050353050232,-8.1293363571167,-10.151719093322754,-8.64267635345459,-8.59939956665039,-1.7575619220733643,-1.7583842277526855,-1.8595157861709595,-1.9134160280227661,-17.825180053710938
4P0TA,-9.251777648925781,-18.35799789428711,-12.732259750366211,-18.317611694335938,1.2684581279754639,0.6908004879951477,-0.4802364408969879,0.5081191658973694,0.7601465582847595,-0.9384270906448364,-0.3493172526359558,0.08575204759836197,-0.6576407551765442,-1.312859058380127,-0.9206323623657227,-1.1289259195327759,-0.6202211976051331,-1.2418248653411865,-0.7768963575363159,-1.7035596370697021,-0.9484397172927856,-0.9422004818916321,-2.626107931137085,-0.6567371487617493,-6.072619438171387,-9.155939102172852,-6.834378719329834,-7.050467014312744,-1.2042378187179565,-1.436390995979309,-1.321900725364685,-1.3642877340316772,-18.32952308654785
4K1CA,-9.661160469055176,-18.57807159423828,-14.078289031982422,-18.603376388549805,1.3081505298614502,1.281294345855713,-0.12288109958171844,1.1160527467727661,0.9513981342315674,-1.680525302886963,-2.862574815750122,0.8028553128242493,0.6082747578620911,-2.3368499279022217,-2.5209219455718994,-2.9072554111480713,-1.7578401565551758,-1.177155613899231,-0.3730081617832184,-1.9050328731536865,-0.27823376655578613,-2.3542094230651855,-3.131676435470581,-1.2041605710983276,-7.863014221191406,-10.488966941833496,-7.278998851776123,-7.964995384216309,-1.2869523763656616,-1.651529312133789,-1.6263843774795532,-1.5128064155578613,-18.606815338134766
3VBCA,-9.442322731018066,-18.6456241607666,-12.943388938903809,-18.64226531982422,1.2119765281677246,0.6067264080047607,-0.6551831960678101,0.6329572796821594,0.7212093472480774,-0.9706258177757263,-0.3228980004787445,0.19794608652591705,-0.39982229471206665,-1.3541886806488037,-0.9742579460144043,-0.5310701727867126,-0.2999604344367981,-0.8220138549804688,-0.6062123775482178,-1.4495254755020142,-0.5751985311508179,-0.7217874526977539,-2.4069650173187256,-0.26026880741119385,-6.464444160461426,-9.084161758422852,-6.811553955078125,-6.988428115844727,-1.243011713027954,-1.4569462537765503,-1.4297336339950562,-1.4305294752120972,-18.66396141052246
5UTKA,-9.320239067077637,-18.32474136352539,-12.712082862854004,-18.405189514160156,0.6443837881088257,0.20184852182865143,-0.6999890804290771,0.5506809949874878,0.8206764459609985,-0.20468875765800476,-0.49944379925727844,0.6031470894813538,0.20668120682239532,-1.1324927806854248,-1.3626816272735596,-0.25344184041023254,-0.2773844301700592,-0.4859800636768341,-0.7995213270187378,-0.9168810844421387,-0.894846498966217,-0.8462560176849365,-2.519639492034912,-2.142090320587158,-6.286387920379639,-9.182612419128418,-7.4834089279174805,-7.314154148101807,-1.3540927171707153,-1.554278016090393,-1.5246680974960327,-1.5114235877990723,-18.32535171508789
3L46A,-8.273005485534668,-17.94091033935547,-12.443893432617188,-17.890958786010742,0.5063311457633972,-0.1452518105506897,-0.7763678431510925,-0.02829616330564022,0.47710108757019043,-0.3309116065502167,-0.7735550403594971,-0.2787863314151764,-0.6649603843688965,-1.2723406553268433,-1.8196204900741577,-0.7061901688575745,-0.7178899049758911,-0.8692437410354614,-1.005555510520935,-1.2070931196212769,-0.7216631174087524,-0.34008821845054626,-3.1080493927001953,-1.279587984085083,-5.91068696975708,-8.33993148803711,-5.784494876861572,-5.966412544250488,-0.9183685183525085,-1.2536803483963013,-1.1543351411819458,-1.23307466506958,-17.937191009521484
3MXOA,-8.254892349243164,-17.4152774810791,-13.431334495544434,-17.42983627319336,0.6977601647377014,0.9279239177703857,-0.8049597144126892,0.5532193779945374,0.9328280687332153,-0.8378525376319885,-0.3522699773311615,0.54925137758255,0.1246028020977974,-1.6757925748825073,-2.022270917892456,-0.9357943534851074,-0.46470773220062256,-0.7195149064064026,-1.0426636934280396,-1.35671865940094,-0.6721459031105042,-0.45113641023635864,-3.372349262237549,-0.5657439231872559,-3.972996234893799,-7.800535678863525,-4.847684383392334,-5.075057506561279,-0.5485237836837769,-1.1309701204299927,-0.9307880997657776,-0.9847716689109802,-17.50519561767578
3QIKA,-8.540609359741211,-18.385623931884766,-13.123091697692871,-18.446882247924805,0.8446283340454102,0.24471314251422882,-0.9510361552238464,0.6520482301712036,0.456279456615448,-0.06809515506029129,-0.4413743019104004,-0.05485748499631882,0.16463960707187653,-1.096939206123352,-2.7307486534118652,-0.060360584408044815,-0.6654053330421448,-0.6801116466522217,-0.9611615538597107,-1.6852240562438965,-0.6813033223152161,-1.5319303274154663,-3.382326364517212,-1.102177619934082,-6.264885902404785,-8.47806167602539,-6.029902935028076,-6.092842102050781,-0.9552759528160095,-1.252564549446106,-1.0247892141342163,-1.0351654291152954,-18.469772338867188
6WUDB,-8.635554313659668,-16.948047637939453,-9.581428527832031,-16.96281623840332,-0.25933149456977844,-0.5859330892562866,-0.47529566287994385,-0.6650812029838562,-0.43798986077308655,-0.1717182993888855,-0.8380679488182068,-0.7039806842803955,-0.16652479767799377,-0.46820423007011414,-1.0993871688842773,-0.18582281470298767,-1.1623680591583252,-0.30847737193107605,-0.5457656383514404,-1.0764576196670532,-1.5164039134979248,-1.7632983922958374,-1.7506166696548462,-1.766799807548523,-6.894761085510254,-9.454615592956543,-8.10126781463623,-8.12517261505127,-1.6547642946243286,-1.6462886333465576,-1.7795743942260742,-1.8178027868270874,-16.96462059020996
2F6MB,-9.562639236450195,-18.876379013061523,-12.408439636230469,-18.903711318969727,0.42374730110168457,-0.13304470479488373,-1.2315064668655396,-0.2496194690465927,0.4414193034172058,0.1561058908700943,-1.0365173816680908,0.0873674601316452,0.09098301827907562,-0.20074613392353058,-2.291029453277588,0.0740724578499794,-0.30522429943084717,0.05614210665225983,-0.9241762161254883,-1.0518431663513184,-1.1986362934112549,-1.2357832193374634,-3.8950905799865723,-1.9081727266311646,-6.836023330688477,-9.809703826904297,-8.108597755432129,-8.003632545471191,-1.3969178199768066,-1.689228892326355,-1.6532777547836304,-1.6552035808563232,-18.8811092376709
6R2WL,-9.201824188232422,-18.148059844970703,-12.075551986694336,-18.227415084838867,-0.13132448494434357,-0.034610290080308914,-0.09676063805818558,-0.6584331393241882,0.6871320009231567,0.4818423092365265,0.07153738290071487,-0.40936556458473206,-1.3361531496047974,-0.28134873509407043,-2.1118202209472656,-0.3813299834728241,-0.08457385003566742,-0.38536977767944336,-1.0595810413360596,-1.0994549989700317,-1.7255688905715942,-0.5024457573890686,-2.537285804748535,-2.0014874935150146,-4.0900373458862305,-7.904212474822998,-6.105731010437012,-6.068868160247803,-0.9790279269218445,-1.3932551145553589,-1.2912408113479614,-1.3171346187591553,-18.1830997467041
2Y9MB,-9.235549926757812,-17.630327224731445,-10.879485130310059,-17.63189125061035,-0.09300515800714493,-0.2817258834838867,-0.4299040734767914,-0.12437623739242554,-0.06246406212449074,-0.24754755198955536,-0.5640075206756592,-0.5474227070808411,-0.34315675497055054,-0.22994980216026306,-0.987326979637146,-0.09318652749061584,-1.0994545221328735,-0.7765457630157471,-0.8562126755714417,-1.2221652269363403,-1.3631256818771362,-1.4945144653320312,-2.1925432682037354,-1.404817819595337,-7.608839511871338,-9.706058502197266,-8.23000717163086,-8.274141311645508,-1.6845612525939941,-1.71531081199646,-1.7675371170043945,-1.841127634048462,-17.635482788085938
4KMDA,-9.560042381286621,-17.91795539855957,-12.16649341583252,-17.911779403686523,0.3596144914627075,0.03136392682790756,-0.028684230521321297,-0.24872969090938568,0.25511959195137024,-0.3313343822956085,-0.17250734567642212,-0.3016779124736786,-0.7296648025512695,-0.6384397149085999,-0.04744398966431618,-0.8309007883071899,-0.6734347343444824,-1.0956125259399414,-0.7052621245384216,-1.1025357246398926,-1.4669063091278076,-0.7163204550743103,-1.5467597246170044,-1.7084574699401855,-8.509809494018555,-10.608503341674805,-8.445136070251465,-8.674981117248535,-1.6943159103393555,-1.74748957157135,-1.8346458673477173,-1.9122692346572876,-17.937908172607422
2GUZB,-8.884546279907227,-18.493066787719727,-13.340950012207031,-18.540254592895508,0.7157657742500305,0.2212621420621872,-1.12326180934906,-0.1656644642353058,0.21131697297096252,0.194904163479805,-0.38558951020240784,-0.3636220395565033,0.11312056332826614,-0.9833508133888245,-2.844566583633423,0.7488119006156921,-0.1822969615459442,0.1235603615641594,-0.7604377269744873,-0.9002946615219116,-0.7094005942344666,-1.1542271375656128,-2.979947805404663,-1.8961467742919922,-6.821103096008301,-10.074503898620605,-7.56283712387085,-7.6968841552734375,-1.1993978023529053,-1.6540662050247192,-1.589621901512146,-1.457051157951355,-18.44940185546875
2WP7A,-8.77149486541748,-17.48061180114746,-13.823392868041992,-17.51670265197754,1.0447235107421875,0.5304549932479858,-0.14716553688049316,0.5706700682640076,1.4122211933135986,-1.0904291868209839,-1.0048609972000122,0.6990623474121094,-0.07515265047550201,-2.076188325881958,-1.6442136764526367,-2.273444414138794,-0.2379458248615265,-0.349557101726532,-0.42157673835754395,-1.5610620975494385,-0.13840331137180328,-1.0299490690231323,-3.5221776962280273,-0.9257794618606567,-5.072878360748291,-8.739823341369629,-5.412204265594482,-5.855048179626465,-0.758391261100769,-1.1096503734588623,-1.0599513053894043,-1.0707426071166992,-17.514324188232422
3FWCB,-9.229637145996094,-17.859888076782227,-11.209160804748535,-17.862281799316406,0.18507082760334015,-0.1565079689025879,-1.0186998844146729,-0.32751166820526123,-0.04365909472107887,0.4122591018676758,-0.24216583371162415,-0.4935024678707123,-0.09596440941095352,-0.21548685431480408,-1.5116112232208252,0.48067939281463623,-0.5309134125709534,-0.34977179765701294,-0.7559186816215515,-0.847878634929657,-1.1767315864562988,-1.5001466274261475,-2.4838156700134277,-2.4537124633789062,-7.656208038330078,-10.203082084655762,-8.585607528686523,-8.376227378845215,-1.649170994758606,-1.721217393875122,-1.7623201608657837,-1.8197046518325806,-17.89376449584961
5BOWA,-9.314722061157227,-18.37371253967285,-12.56470012664795,-18.46047592163086,0.9257156252861023,0.5263106226921082,-0.23469758033752441,0.3716750144958496,0.7905305624008179,-0.44905415177345276,0.02525472640991211,0.3695778548717499,-0.42678508162498474,-1.3606152534484863,-0.7260053753852844,-0.3541306257247925,-0.21682330965995789,-0.8590376377105713,-0.7051252126693726,-1.4386674165725708,-0.7985535264015198,-0.9756999015808105,-2.2606866359710693,-0.8114280700683594,-5.424797058105469,-8.973811149597168,-6.927365779876709,-7.054772853851318,-1.254576325416565,-1.448775053024292,-1.364656686782837,-1.4854493141174316,-18.431495666503906
1IO0A,-9.123852729797363,-18.69350242614746,-14.290801048278809,-18.737808227539062,0.6821762919425964,0.4929249882698059,-1.2420611381530762,0.7601072192192078,0.6402302980422974,-1.1722382307052612,-1.6164846420288086,0.7700412273406982,0.4106653034687042,-1.9489737749099731,-2.503800868988037,-0.9420827627182007,-0.7813211679458618,0.320829302072525,-1.4287995100021362,-2.166567802429199,-0.42691782116889954,-1.6078689098358154,-4.022115707397461,-1.4156732559204102,-4.934712886810303,-8.344988822937012,-6.021843910217285,-6.06832218170166,-0.8589493036270142,-1.3291305303573608,-1.1877433061599731,-1.1434859037399292,-18.692079544067383
6ONBA,-9.548786163330078,-18.335994720458984,-11.98750114440918,-18.35234832763672,0.49836933612823486,0.37809309363365173,-0.5107950568199158,0.4074413776397705,0.5324978232383728,-0.2092757672071457,0.2199811488389969,0.15293684601783752,-0.6885406970977783,-0.804408073425293,-1.3399038314819336,-0.6728070378303528,-0.2860414981842041,-0.7090093493461609,-0.9530725479125977,-1.095447301864624,-1.278845191001892,-0.2661122977733612,-2.1628363132476807,-2.2887284755706787,-6.291467666625977,-9.288930892944336,-7.45095157623291,-7.485203266143799,-1.4095168113708496,-1.5877375602722168,-1.5929096937179565,-1.572664737701416,-18.34122657775879
2OBDA,-9.980579376220703,-18.636613845825195,-12.645576477050781,-18.68337631225586,0.9591066837310791,0.3296224772930145,-0.36590102314949036,0.49522897601127625,0.8909519910812378,-0.5453678965568542,-1.091707706451416,0.365443617105484,0.04164721444249153,-0.9373036026954651,-1.4095474481582642,-0.6093752384185791,-0.38617992401123047,-0.6784289479255676,-0.3743857741355896,-1.4915399551391602,-0.7971979379653931,-0.9679358601570129,-2.399275541305542,-1.6529268026351929,-5.971735000610352,-9.027907371520996,-7.492328643798828,-7.357025146484375,-1.406101107597351,-1.5116784572601318,-1.5619393587112427,-1.563931941986084,-18.638925552368164
4QAMB,-6.807116508483887,-15.934654235839844,-12.70042610168457,-16.042016983032227,1.2041316032409668,0.8789263367652893,-0.7976246476173401,0.8774765133857727,1.230607032775879,0.052269719541072845,-0.5139561295509338,0.6358556747436523,-0.1688845455646515,-0.9336543083190918,-1.2414053678512573,-0.6241785883903503,0.13925166428089142,-0.866431474685669,-1.1609898805618286,-1.8590058088302612,-0.08590655773878098,-1.0688259601593018,-3.095133066177368,-0.9941654801368713,-5.913074016571045,-7.9770917892456055,-4.353292942047119,-4.751960277557373,-0.4895552396774292,-0.897777259349823,-0.6474429965019226,-0.7037684321403503,-15.879679679870605
3OSTA,-9.659751892089844,-18.459230422973633,-11.640345573425293,-18.52056121826172,0.4664529263973236,-0.5484396815299988,-0.29861509799957275,-0.26062658429145813,0.12883785367012024,0.278195858001709,-0.695436954498291,-0.0934348925948143,0.24305866658687592,-0.4717690050601959,-1.3676345348358154,0.7460576891899109,-0.7420713305473328,-0.20919407904148102,-0.5804147720336914,-0.7035049796104431,-1.4116992950439453,-1.0111472606658936,-2.4501962661743164,-2.6381208896636963,-8.287104606628418,-10.34895133972168,-8.273249626159668,-8.380168914794922,-1.582666277885437,-1.6460583209991455,-1.7334951162338257,-1.7064602375030518,-18.48954963684082
7KPUA,-7.547633647918701,-17.324098587036133,-13.089193344116211,-17.361204147338867,0.7799243927001953,0.8017404675483704,-0.7939410209655762,0.4337047040462494,0.8119891285896301,-0.6163507699966431,-0.28273606300354004,0.2825106382369995,-0.4638676941394806,-1.5816351175308228,-2.7795724868774414,-0.5204958319664001,-0.3132029175758362,-0.8222845792770386,-0.9257135987281799,-1.68891441822052,-0.25333455204963684,-1.2008228302001953,-3.0985043048858643,-0.4299049973487854,-6.038913726806641,-8.906778335571289,-5.3679728507995605,-5.8343610763549805,-0.5543402433395386,-1.2773579359054565,-1.028416395187378,-1.044231653213501,-17.392841339111328
